x,y,index,clustering-MIRO,set,clustering-DBSCAN
142.82225142082,890.899345448932,1,1,1,1
121.867120970784,851.194555753786,1,1,1,1
141.662706331048,861.356704046178,1,1,1,1
95.5268859683001,890.265771482494,1,1,1,1
149.988722941319,864.830507758758,1,1,1,1
108.823261682944,908.016199153865,1,1,1,1
91.7107815224767,876.67681804013,1,1,1,1
108.675433083696,905.339348176006,1,1,1,1
98.8810565783272,917.923894406118,1,1,1,1
101.784529702124,852.953308474086,1,1,1,1
140.194389596482,872.773807120042,1,1,1,1
109.097979826308,860.533916053547,1,1,1,1
106.527425384174,859.246847867186,1,1,1,1
97.6371873538033,900.262789088454,1,1,1,1
96.4275626163418,869.157225301858,1,1,1,1
1727.5617807817,652.558389233989,2,2,1,2
1734.45837253217,656.370341285652,2,2,1,2
1764.29101969104,645.10532792139,2,2,1,2
1749.16478358817,650.795385310112,2,2,1,2
1752.59646052566,643.057919962224,2,2,1,2
1722.32282237707,666.460596882755,2,2,1,2
1729.2165231727,648.473161800213,2,2,1,2
1765.18060097331,640.664061388164,2,2,1,2
1700.35497332331,715.345763342586,2,0,1,2
1806.53587713212,637.257490572775,2,2,1,2
1781.05187247399,678.101806799051,2,2,1,2
1747.61483910102,672.156297348271,2,2,1,2
1740.84398704911,624.947650422603,2,2,1,2
1744.22347129876,685.250473064589,2,2,1,2
1743.1638908592,695.128240398339,2,2,1,2
1272.05432131851,812.350402637388,3,3,1,3
1295.85248400761,840.569889154019,3,3,1,3
1249.96772650498,877.881802996948,3,3,1,3
1253.81994642787,823.924578859751,3,3,1,3
1235.29328093646,829.675928455708,3,3,1,3
1263.53115317871,916.254636501461,3,0,1,3
1249.69700936403,850.58893227973,3,3,1,3
1293.18495707009,833.722667683722,3,3,1,3
1231.52966806316,813.444697099722,3,3,1,3
1279.36565119054,803.011620525374,3,3,1,3
1285.50347725019,828.235463546239,3,3,1,3
1272.51429592823,843.575297390456,3,3,1,3
1223.51844193535,875.222669369085,3,3,1,3
1253.63407183274,763.724151455,3,0,1,3
1297.03830146002,872.008857634764,3,3,1,3
1365.55682342395,118.718568045066,4,4,1,4
1369.72781077507,168.836678005692,4,4,1,4
1374.63525272117,195.800389195988,4,4,1,4
1379.55670833634,156.696029789084,4,4,1,4
1372.61268910352,154.373291149622,4,4,1,4
1329.63866777616,140.845440255818,4,4,1,4
1347.46554366424,165.992573086525,4,4,1,4
1389.54396271502,157.254106322018,4,4,1,4
1399.51439132242,156.905435682789,4,4,1,4
1426.12992274534,174.903477579777,4,4,1,4
1364.63445841151,174.702512237906,4,4,1,4
1330.14641376398,151.271937584105,4,4,1,4
1376.1471715901,194.27127008257,4,4,1,4
1312.7082969068,171.000028884357,4,4,1,4
1355.8744412237,144.573228593853,4,4,1,4
804.668587642855,1850.79202966565,5,5,1,5
788.629387932388,1862.60642789338,5,5,1,5
747.172204436305,1846.38592667544,5,5,1,5
739.325285242871,1840.71604356106,5,5,1,5
765.064461904388,1833.04902794922,5,5,1,5
800.846753642941,1853.95645455967,5,5,1,5
771.801313467826,1842.62486014315,5,5,1,5
737.856191371309,1869.30726320187,5,5,1,5
756.496293810109,1856.47773738773,5,5,1,5
770.194826873418,1851.37858494166,5,5,1,5
797.89863494431,1843.92655495902,5,5,1,5
755.684426103709,1854.34171858703,5,5,1,5
742.823755632371,1809.34010739108,5,5,1,5
783.541931171962,1867.90041757015,5,5,1,5
784.633081311916,1838.17475823503,5,5,1,5
472.355814359003,586.562523722932,6,6,1,6
488.41494644473,545.484263111889,6,6,1,6
467.017961695811,569.567267613191,6,6,1,6
469.790631178888,555.149011765115,6,6,1,6
474.773581124553,564.982627230658,6,6,1,6
478.629274834009,534.989403079547,6,6,1,6
455.770383893614,555.280540754053,6,6,1,6
462.007020302966,554.880603248196,6,6,1,6
455.563473538962,588.810144528414,6,6,1,6
493.860584498931,539.772432295777,6,6,1,6
531.564497928594,539.291197842341,6,6,1,6
462.649342721411,552.374498287533,6,6,1,6
461.163769291174,526.224549967953,6,6,1,6
485.064040248483,597.450296027826,6,6,1,6
517.481650277077,534.858854245062,6,6,1,6
363.268068172138,302.093368480301,7,7,1,7
338.24880249017,344.224709127464,7,7,1,7
350.338825910445,330.802641851828,7,7,1,7
359.391094927634,301.135383720634,7,7,1,7
353.808140060472,313.069947788275,7,7,1,7
359.483702430023,324.11924385174,7,7,1,7
323.58775720356,316.930283741333,7,7,1,7
374.776532548691,401.608548539498,7,7,1,7
323.453868208541,332.613626955963,7,7,1,7
361.569137162002,332.626203819404,7,7,1,7
354.195250977904,340.112058571956,7,7,1,7
363.637849110838,356.789070054584,7,7,1,7
